CustomerId,CreditScore,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited
15634602,619,7,0,1,1,1,1
15647311,608,4,83807.86,1,0,1,0
15619304,502,4,159660.8,3,1,0,1
15701354,699,3,0,2,0,0,0
15737888,850,3,125510.82,1,1,1,0
15574012,645,4,113755.78,2,1,0,1
15592531,822,6,0,2,1,1,0
15656148,376,5,115046.74,4,1,0,1
15792365,501,5,142051.07,2,0,1,0
15592389,684,5,134603.88,1,1,1,0
15767821,528,7,102016.72,2,0,0,0
15737173,497,7,0,2,1,0,0
15632264,476,3,0,2,1,0,0
15691483,549,6,0,2,0,0,0
15600882,635,6,0,2,1,1,0
15643966,616,4,143129.41,2,0,1,0
15737452,653,4,132602.88,1,1,0,1
15788218,549,3,0,2,1,1,0
15661507,587,3,0,1,0,0,0
15568982,726,5,0,2,1,1,0
15577657,732,5,0,2,1,1,0
15597945,636,5,0,2,1,0,0
15699309,510,4,0,1,1,0,1
15725737,669,3,0,2,0,1,0
15625047,846,5,0,1,1,1,0
15738191,577,6,0,2,0,1,0
15736816,756,4,136815.64,1,1,1,0
15700772,571,4,0,2,0,0,0
15728693,574,5,141349.43,1,1,1,0
15656300,411,4,59697.17,2,1,1,0
15589475,591,5,0,3,1,0,1
15706552,533,4,85311.7,1,0,1,0
15750181,553,5,110112.54,2,0,0,0
15659428,520,4,0,2,1,1,0
15732963,722,6,0,2,1,1,0
15794171,475,5,134264.04,1,1,0,1
15788448,490,7,145260.23,1,0,1,0
15729599,804,4,76548.6,1,0,1,0
15717426,850,5,0,1,1,1,0
15585768,582,6,70349.48,2,0,1,0
15619360,472,5,0,1,1,0,0
15738148,465,6,122522.32,1,0,0,1
15687946,556,5,117419.35,1,1,1,0
15755196,834,6,131394.56,1,0,0,1
15684171,660,7,155931.11,1,1,1,0
15754849,776,6,109421.13,2,1,1,0
15602280,829,5,112045.67,1,1,1,1
15771573,637,7,137843.8,1,1,1,1
15766205,550,4,103391.38,1,0,1,0
15771873,776,4,103769.22,2,1,0,0
15616550,698,6,116363.37,2,1,0,0
15768193,585,4,146050.97,2,0,0,0
15683553,788,5,0,2,0,0,0
15702298,655,5,125561.97,1,0,0,1
15569590,601,7,98495.72,1,1,0,1
15760861,619,6,125211.92,1,1,1,0
15630053,656,6,127864.4,1,1,0,0
15647091,725,6,75888.2,1,0,0,0
15623944,511,7,0,1,1,0,1
15804771,614,4,40685.92,1,1,1,0
15651280,742,6,136857,1,0,0,0
15773469,687,4,152328.88,2,0,0,0
15702014,555,5,56084.69,2,0,0,0
15751208,684,4,78707.16,1,1,1,0
15592461,603,4,109166.37,1,1,1,0
15789484,751,6,169831.46,2,1,1,0
15696061,581,4,101633.04,1,1,0,0
15641582,735,6,123180.01,2,1,1,0
15638424,661,3,150725.53,2,0,1,0
15755648,675,5,98373.26,1,1,0,0
15703793,738,3,133745.44,4,1,0,1
15620344,813,6,0,1,1,0,0
15812518,657,6,163607.18,1,0,1,0
15779052,604,4,157780.84,2,1,1,0
15770811,519,6,0,2,0,1,0
15780961,735,5,178718.19,2,1,0,0
15614049,664,5,0,2,1,1,0
15662085,678,7,0,1,1,1,0
15575185,757,6,77253.22,1,0,1,0
15803136,416,4,122189.66,2,1,0,0
15706021,665,6,96645.54,2,0,0,0
15663706,777,7,0,1,1,0,1
15641732,543,4,0,2,0,0,0
15701164,506,4,90307.62,1,1,1,0
15738751,493,5,0,2,1,0,0
15805254,652,3,0,2,1,1,0
15762418,750,5,121681.82,1,1,0,1
15625759,729,6,0,2,1,0,0
15622897,646,5,0,3,1,0,1
15767954,635,4,81623.67,2,1,1,0
15757535,647,4,0,3,1,1,1
15731511,808,7,118626.55,2,1,0,0
15809248,524,6,0,2,1,0,0
15640635,769,4,0,2,1,1,0
15676966,730,4,0,2,0,1,0
15699461,515,5,176273.95,1,0,1,0
15738721,773,6,102827.44,1,0,1,0
15693683,814,7,97086.4,2,1,1,0
15604348,710,4,0,2,0,0,0
15633059,413,3,0,2,0,0,0
15808582,665,3,0,1,1,1,0
15743192,623,5,0,2,0,0,0
15580146,738,5,82674.15,1,1,0,0
15776605,528,4,0,2,1,0,0
15804919,670,3,0,1,1,1,1
15613854,622,4,107073.27,2,1,1,1
15599195,582,4,88938.62,1,1,1,0
15812878,785,3,99806.85,1,0,1,0
15602312,605,5,150092.8,1,0,0,0
15744689,479,5,92833.89,1,1,0,1
15803526,685,4,90536.81,1,0,1,0
15665790,538,4,108055.1,2,1,0,0
15715951,562,6,100238.35,1,0,0,0
15591100,675,5,106190.55,1,0,1,0
15609618,721,3,154475.54,2,0,1,1
15675522,628,6,132351.29,2,1,1,0
15705512,668,4,167864.4,1,1,0,0
15698028,506,5,0,2,1,0,0
15661670,524,3,107818.63,1,1,0,1
15600781,699,5,185173.81,2,1,0,0
15682472,828,3,129433.34,2,0,0,0
15580203,674,6,120193.42,1,0,0,0
15690673,656,4,0,2,1,0,0
15760085,684,7,126384.42,1,1,1,0
15779659,625,3,0,1,0,0,0
15627360,432,6,152603.45,1,1,0,1
15671137,549,4,0,1,0,1,1
15782688,625,4,148507.24,1,1,0,1
15575492,828,3,0,2,1,0,0
15591607,770,7,101827.07,1,1,0,0
15740404,758,4,0,2,1,1,0
15718369,795,3,130862.43,1,1,1,0
15677871,687,6,122570.87,1,1,1,0
15642004,686,5,0,2,0,1,0
15712543,789,4,124828.46,2,1,1,0
15584518,589,5,144895.05,2,1,1,0
15802381,461,5,63663.93,1,0,1,0
15610156,637,4,133463.1,1,0,1,0
15594408,584,4,213146.2,1,1,0,1
15640905,579,7,129490.36,2,0,1,1
15698932,756,6,137452.09,1,1,0,0
15724944,663,4,0,2,1,1,0
15628145,682,6,125851.93,1,1,1,0
15713483,793,5,0,1,1,0,1
15612350,691,3,40915.55,1,1,0,1
15800703,485,5,113157.22,1,1,1,0
15705707,635,4,138296.94,2,1,0,0
15754105,650,4,106967.18,1,0,0,0
15703264,735,6,120681.63,1,1,0,0
15794413,416,4,0,2,0,1,0
15650237,754,4,0,2,1,0,0
15759618,535,4,0,1,1,0,1
15811589,716,4,0,2,1,0,0
15689044,539,6,127609.59,1,1,0,0
15709368,614,3,0,2,1,1,0
15679145,706,5,0,1,1,0,1
15655007,758,3,0,2,0,0,0
15623595,586,4,0,2,1,1,0
15589975,646,6,97259.25,1,0,1,0
15804017,631,3,123246.7,1,0,0,0
15692132,717,3,101060.25,1,0,1,0
15641122,684,5,0,2,1,0,0
15630910,800,7,108007.36,1,0,0,0
15680772,721,6,0,2,1,1,0
15658929,683,4,133702.89,1,1,0,1
15585388,660,6,125189.75,2,1,1,0
15724623,704,5,113034.22,1,1,0,1
15588537,615,4,109013.23,1,1,0,0
15574692,667,5,0,2,1,0,1
15611325,682,6,57929.81,2,0,0,0
15587562,484,7,130114.39,1,1,0,0
15613172,628,5,95826.49,2,1,0,0
15651022,480,7,129608.57,1,1,0,1
15586310,578,4,169462.09,1,1,0,0
15625524,512,3,0,2,1,1,0
15755209,484,3,133868.21,1,1,1,0
15645248,510,4,0,2,1,1,0
15790355,606,4,190479.48,2,0,0,0
15762615,597,7,101993.12,1,0,1,0
15625426,754,6,161608.81,1,1,0,1
15716334,850,5,122311.21,1,1,1,0
15789669,510,7,0,2,1,1,0
15621075,778,3,162150.42,2,1,0,0
15810845,636,3,0,2,1,1,0
15719377,804,3,0,1,1,1,1
15654506,514,5,0,2,1,0,0
15771977,730,6,99010.67,1,1,0,0
15708710,525,4,0,1,0,1,0
15726676,616,5,0,2,0,1,0
15587421,687,4,111388.18,2,1,0,0
15726931,715,7,56214.85,2,0,0,1
15771086,512,7,84327.77,2,1,0,0
15756850,479,3,0,2,0,0,0
15702741,601,3,93012.89,1,1,0,0
15679200,580,3,61710.44,2,1,0,0
15594815,807,5,174790.15,1,1,1,0
15635905,616,4,0,2,1,1,0
15777892,721,4,107720.64,1,1,1,0
15656176,501,4,0,2,1,1,0
15811127,521,4,96423.84,1,1,0,0
15604482,850,5,141040.01,1,1,1,0
15622911,759,4,105420.18,1,0,1,0
15600974,516,3,0,1,0,1,1
15727868,711,3,129022.06,2,1,1,1
15627801,512,6,176666.62,1,1,0,0
15773039,550,4,0,1,1,1,0
15755262,608,4,89763.84,1,0,0,1
15679531,618,5,134954.53,1,1,1,0
15684181,643,5,0,1,1,0,1
15612087,671,4,106376.85,1,0,1,0
15752047,689,5,161814.64,2,1,0,0
15624592,603,6,0,2,1,1,0
15573152,620,5,0,2,0,0,0
15594917,676,4,63095.01,1,1,1,0
15785542,572,5,118287.01,2,0,0,0
15723488,668,5,106854.21,1,0,1,1
15680920,695,5,49512.55,1,1,0,0
15786308,730,5,0,2,0,0,0
15659366,807,3,105799.32,2,1,0,1
15774854,592,7,0,1,1,1,1
15725311,726,4,114722.05,2,1,1,0
15787155,514,4,0,1,0,1,0
15727829,567,3,0,2,1,1,0
15733247,850,6,0,1,1,0,1
15568748,671,4,99564.22,1,1,1,1
15699029,670,5,170557.91,2,1,0,0
15774393,694,5,0,2,1,1,0
15676895,547,5,74596.15,3,1,1,1
15637753,751,6,96888.39,1,1,0,1
15605461,594,5,130830.22,1,1,0,0
15808473,673,4,0,2,0,1,0
15627000,610,4,0,2,1,0,0
15787174,512,3,0,2,0,1,0
15723886,767,6,119714.25,2,0,1,0
15704769,585,6,113978.97,2,0,1,0
15772896,763,3,100160.75,1,1,0,1
15711540,712,7,0,1,1,1,0
15764866,539,6,116220.5,3,1,0,1
15794056,668,4,0,3,1,0,1
15795149,703,5,81173.83,2,0,1,0
15812009,662,4,0,2,1,0,0
15651001,725,4,116803.8,1,1,0,0
15813844,703,4,105961.68,2,0,1,0
15596175,659,6,117411.6,1,1,1,1
15576269,523,7,0,2,1,0,0
15797219,635,7,123497.58,1,1,0,1
15685500,772,4,152400.51,2,1,0,0
15599792,545,4,0,2,1,1,0
15657566,634,4,103097.85,1,1,1,0
15772423,739,4,126418.14,1,1,0,1
15628112,771,4,77846.9,1,0,0,0
15753754,587,5,0,2,1,1,0
15793726,681,4,0,2,0,1,0
15694717,544,5,79731.91,1,1,1,0
15665834,696,6,0,1,0,0,0
15765297,766,3,0,2,0,1,0
15636684,727,7,0,2,1,1,0
15592979,671,4,37266.67,2,0,0,0
15750803,693,5,127992.25,1,1,1,0
15607178,850,6,54901.01,1,1,1,0
15713853,732,5,108748.08,2,1,1,0
15673481,726,3,99906.19,1,1,0,0
15686776,557,7,184686.41,2,1,0,0
15673693,682,4,110654.02,1,0,1,0
15700696,738,4,79019.8,1,1,1,0
15813163,531,6,99240.51,1,1,0,0
15653857,498,4,0,2,1,1,0
15777076,651,5,0,2,1,0,0
15717398,549,6,0,1,0,0,1
15799217,791,6,52436.2,1,1,0,0
15787071,650,4,0,2,0,1,0
15619955,733,3,100337.96,3,1,0,1
15796505,811,5,149297.19,2,1,1,0
15725166,707,5,0,2,1,0,0
15800116,712,4,145605.44,1,0,1,0
15758685,706,6,0,2,1,1,0
15694456,756,6,0,1,1,1,1
15767339,777,6,0,2,1,0,0
15683562,646,5,84026.86,1,0,1,0
15782210,714,5,0,1,1,0,1
15668893,782,7,0,2,1,1,0
15669169,775,5,0,2,1,1,0
15643024,479,5,138718.92,1,1,1,1
15699389,807,5,118274.71,1,1,1,0
15708608,799,3,174185.98,2,0,1,0
15626144,675,6,113208.86,2,1,0,0
15573112,602,5,103907.28,1,1,0,0
15790678,475,5,119023.28,1,1,0,0
15727556,744,6,166297.89,1,1,1,0
15697307,588,5,0,2,1,0,0
15652266,703,6,63227,1,0,1,0
15607098,747,4,94521.17,2,1,0,0
15655774,583,5,0,2,1,0,0
15590241,750,3,112822.26,1,0,0,1
15785819,681,5,0,2,1,1,0
15723654,773,5,135903.33,1,1,0,0
15774510,714,4,125169.26,1,1,1,0
15684173,687,7,0,3,1,0,1
15650068,511,7,149117.31,1,1,1,0
15811490,627,5,0,2,1,1,0
15803976,694,6,0,2,1,0,0
15682541,616,5,132311.71,1,0,0,0
15695699,687,5,0,2,1,0,0
15624188,712,7,0,2,1,1,0
15812191,553,4,118082.89,1,0,0,0
15636673,667,4,119266.69,1,1,1,0
15594898,731,4,0,1,1,1,1
15660211,629,5,156847.29,2,1,0,0
15773972,614,7,137104.47,1,1,0,1
15746726,438,3,78398.69,1,1,0,0
15712287,652,6,0,2,1,1,0
15702919,729,5,63669.42,1,1,0,0
15674398,642,5,0,2,0,0,0
15797960,806,4,135296.33,1,1,0,0
15631868,744,5,153804.44,1,1,1,0
15581539,474,5,0,2,0,0,0
